"Wilderness_Area","Soil_Type"
1,29
1,29
1,12
1,30
1,29
1,29
1,29
1,29
1,29
1,29
1,18
1,30
1,30
1,18
1,18
1,16
1,29
1,18
1,18
1,18
1,18
1,30
1,30
1,18
1,18
1,18
1,18
1,29
1,12
1,30
1,30
1,18
1,18
1,18
1,18
1,29
1,30
1,18
1,30
1,30
1,20
1,29
1,18
1,16
1,12
1,18
1,18
1,18
1,18
1,18
1,30
1,29
1,30
1,18
1,18
1,16
1,18
1,18
1,18
1,18
1,18
1,29
1,12
1,18
1,18
1,18
1,18
1,29
1,12
1,29
1,30
1,29
1,29
1,16
1,29
1,30
1,30
1,16
1,12
1,30
1,20
1,12
1,29
1,12
1,18
1,29
1,29
1,12
1,12
1,29
1,18
1,29
1,30
1,29
1,29
1,12
1,29
1,12
1,16
1,18
1,29
1,29
1,29
1,29
1,18
1,18
1,20
1,29
1,29
1,16
1,29
1,16
1,12
1,12
1,18
1,29
1,29
1,29
1,18
1,29
1,12
1,29
1,29
1,29
1,29
1,16
1,12
1,12
1,29
1,12
1,24
1,29
1,24
1,24
1,16
1,29
1,24
1,29
1,29
1,18
1,29
1,24
1,12
1,24
1,20
1,12
1,24
1,29
1,20
1,18
1,29
1,24
1,12
1,12
1,29
1,29
1,29
1,12
1,18
1,18
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,24
1,23
1,29
1,30
1,29
1,29
1,29
1,29
1,20
1,29
1,24
1,20
1,29
1,29
1,12
1,29
1,30
1,29
1,29
1,29
1,29
1,18
1,29
1,29
1,30
1,12
1,29
1,12
1,18
1,29
1,29
1,12
1,12
1,24
1,29
1,29
1,29
1,29
1,20
1,20
1,29
1,30
1,12
1,29
1,29
1,24
1,24
1,24
1,40
1,16
1,23
1,29
1,29
1,29
1,29
1,16
1,29
1,12
1,12
1,29
1,29
1,12
1,30
1,29
1,23
1,29
1,12
1,12
1,29
1,23
1,23
1,29
1,29
1,24
1,29
1,40
1,12
1,29
1,29
1,29
1,29
1,12
1,12
1,20
1,19
1,23
1,29
1,30
1,29
1,12
1,23
1,29
1,29
1,23
1,20
1,29
1,19
1,29
1,29
1,29
1,30
1,12
1,29
1,29
1,20
1,20
1,12
1,12
1,23
1,30
1,30
1,30
1,29
1,29
1,12
1,20
1,29
1,29
1,23
1,20
1,29
1,20
1,12
1,12
1,12
1,29
1,20
1,12
1,30
1,23
1,12
1,29
1,23
1,29
1,29
1,12
1,30
1,29
1,12
1,30
1,29
1,29
1,30
1,12
1,23
1,30
1,30
1,12
1,12
1,30
1,29
1,16
1,23
1,20
1,19
1,23
1,29
1,16
1,29
1,16
1,20
1,23
1,29
1,29
1,29
1,12
1,29
1,12
1,29
1,29
1,12
1,29
1,29
1,29
1,12
1,12
1,12
1,29
1,30
1,29
1,29
1,12
1,12
1,40
1,29
1,12
1,29
1,29
1,12
1,12
1,12
1,12
1,29
1,12
1,12
1,29
1,30
1,12
1,12
1,30
1,20
1,20
1,30
1,29
1,23
1,29
1,29
1,29
1,29
1,12
1,29
1,29
1,29
1,30
1,29
1,29
1,12
1,30
1,30
1,30
1,30
1,29
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,30
1,29
1,29
1,12
1,23
1,23
1,12
1,30
1,30
1,20
1,29
1,29
1,29
1,29
1,30
1,30
1,30
1,20
1,20
1,12
1,23
1,30
1,30
1,30
1,29
1,29
1,12
1,30
1,30
1,30
1,30
1,30
1,30
1,29
1,12
1,12
1,29
1,12
1,29
1,29
1,29
1,12
1,12
1,29
1,29
1,20
1,29
1,29
1,20
1,29
1,12
1,29
1,23
1,12
1,20
1,29
1,12
1,30
1,12
1,29
1,20
1,12
1,20
1,12
1,29
1,12
1,29
1,29
1,12
1,29
1,30
1,29
1,20
1,12
1,29
1,29
1,12
1,12
1,30
1,12
1,29
1,29
1,29
1,12
1,29
1,30
1,30
1,29
1,29
1,29
1,20
1,29
1,29
1,29
1,29
1,29
1,16
1,29
1,19
1,19
1,8
1,12
1,29
1,29
1,29
1,20
1,30
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,20
1,29
1,20
1,23
1,29
1,23
1,12
1,20
1,29
1,29
1,12
1,20
1,20
1,29
1,23
1,29
1,30
1,23
1,29
1,29
1,23
1,29
1,29
1,12
1,12
1,29
1,12
1,12
1,12
1,12
1,29
1,12
1,12
1,12
1,30
1,12
1,23
1,12
1,30
1,29
1,29
1,30
1,22
1,30
1,22
1,29
1,29
1,12
1,29
1,29
1,23
1,12
1,30
1,29
1,29
1,12
1,30
1,29
1,29
1,30
1,12
1,12
1,30
1,23
1,19
1,30
1,30
1,12
1,12
1,12
1,29
1,12
1,30
1,29
1,29
1,29
1,29
1,12
1,12
1,29
1,30
1,12
1,29
1,30
1,23
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,23
1,29
1,23
1,29
1,29
1,29
1,29
1,12
1,16
1,20
1,29
1,16
1,12
1,23
1,29
1,30
1,12
1,29
1,29
1,30
1,16
1,12
1,29
1,29
1,12
1,29
1,16
1,16
1,16
1,29
1,29
1,16
1,16
1,29
1,29
1,29
1,30
1,29
1,29
1,29
1,29
1,29
1,29
1,30
1,29
1,23
1,29
1,23
1,23
1,23
1,29
1,23
1,29
1,12
1,29
1,29
1,29
1,29
1,23
1,29
1,39
1,29
1,29
1,29
1,20
1,23
1,29
1,29
1,30
1,20
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,29
1,23
1,29
1,29
1,29
1,23
1,23
1,23
1,29
1,12
1,23
1,29
1,29
1,29
1,23
1,29
1,29
1,29
1,23
